"Ternio
(TERN)";"0.059726
USD"
"MiloCoin
(MILO)";"0.002370
USD"
"Pabyosi Coin (Special)
(PCS)";"0.081018
USD"
"MyToken
(MT)";"0.014873
USD"
"FuturoCoin
(FTO)";"10.14
USD"
"Quotient
(XQN)";"0.002245
USD"
"OFCOIN
(OF)";"0.000671
USD"
"Cropcoin
(CROP)";"0.002803
USD"
"EncryptoTel [ETH]
(ETT)";"0.019772
USD"
"UR
(UR)";"0.000686
USD"
"PIECoin
(PIE)";"0.002745
USD"
"Interzone
(ITZ)";"0.002370
USD"
"NumusCash
(NUMUS)";"0.000063
USD"
"LikeCoin
(LIKE)";"0.007849
USD"
"ZenGold
(ZENGOLD)";"0.010048
USD"
"RealChain
(RCT)";"0.044457
USD"
"Akuya Coin
(AKY)";"0.001810
USD"
"PRCoin
(PRC)";"0.000623
USD"
"Molecular Future
(MOF)";"0.238836
USD"
"Coni
(CONI)";"0.105290
USD"
"Jiyo
(JIYO)";"0.034895
USD"
"PlexCoin
(PLX)";"0.005891
USD"
"KEY
(KEY)";"0.004747
USD"
"Cubits
(QBT)";"0.001310
USD"
"Tattoocoin (Limited Edition)
(TLE)";"0.665496
USD"
"Saifu
(SFU)";"0.049211
USD"

USD"
"Bitbase
(BTBc)";"0.000437
USD"
"PlayerCoin
(PLACO)";"0.000686
USD"
"AC3
(AC3)";"0.151482
USD"
"Vipstar Coin
(VIPS)";"0.000250
USD"
"ZSEcoin
(ZSE)";"0.004743
USD"
"Indicoin
(INDI)";"0.013722
USD"
"Wowbit
(WWB)";"0.152933
USD"
"Swisscoin
(SIC)";"0.000374
USD"
"Rawcoin
(XRC)";"0.008794
USD"
"BigONE Token
(BIG)";"0.454257
USD"
"TRAXIA
(TMT)";"0.017646
USD"
"FCoin Token
(FT)";"?
USD"
"Iconic
(ICON)";"0.050025
USD"
"President Johnson
(GARY)";"0.025011
USD"
"Kcash
(KCASH)";"0.075249
USD"
"BTCMoon
(BTCM)";"0.002548
USD"
"Super Game Chain
(SGCC)";"0.001654
USD"
"TerraNova
(TER)";"1.55
USD"
"StrikeBitClub
(SBC)";"0.000864
USD"
D"
"T-coin
(TCOIN)";"0.000062
USD"
"StarCoin
(KST)";"0.009724
USD"
"CK USD
(CKUSD)";"0.996512
USD"
"Sphre AIR
(XID)";"0.084885
USD"
"Curriculum Vitae
(CVH)";"0.003800
USD"
"WETH
(WETH)";"439.72
USD"
"Open Platform
(OPEN)";"0.064746
USD"
"ValueChain
(VLC)";"0.034686
USD"
"SuperNET
(UNITY)";"37.67
USD"
"BlockMesh
(BMH)";"0.008482
USD"
"ARbit
(ARB)";"0.002931
USD"
"Halloween Coin
(HALLO)";"0.000192
USD"
"ERA
(ERA)";"0.016822
USD"
"BlockCDN
(BCDN)";"0.010171
USD"
"Cloud
(CLD)";"0.020005
USD"
"Hyper
(HYPER)";"0.009917
USD"
"President Trump
(PRES)";"0.010483
USD"
"Seele
(SEELE)";"0.199484
USD"
"Dragon Coins
(DRG)";"0.270241
USD"
"Francs
(FRN)";"0.010005
USD"
"Protean
(PRN)";"0.000017
USD"
"Penta
(PNT)";"0.003145
USD"
"Aces
(ACES)";"0.000187
USD"
"Atonomi
(ATMI)";"0.032568
USD"
"ACChain
(ACC)";"0.158730
USD"
"BitcoinX
(BCX)";"0.008559
USD"
"Aidos Kuneen
(ADK)";"16.21
USD"
"IPChain
(IPC)";"0.481980
USD"
"GoldMaxCoin
(GMX)";"0.000561
USD"
"Cardstack
(CARD)";"0.004765
USD"
"AWARE
(AT)";"0.012959
USD"
"PressOne
(PRS)";"0.136861
USD"
"GOLD Reward Token
(GRX)";"0.005302
USD"
"Infinitecoin
(IFC)";"0.000031
USD"
"Cheapcoin
(CHEAP)";"0.000253
USD"
"Lendroid Support Token
(LST)";"0.002879
USD"
"Powercoin
(PWR)";"0.000001
USD"
"BlazerCoin
(BLAZR)";"0.000686
USD"
"TeslaCoilCoin
(TESLA)";"1.87
USD"
"Trittium
(TRTT)";"0.060437
USD"
"LandCoin
(LDCN)";"0.000936
USD"
"Royalties
(XRY)";"0.000038
USD"
"Animecoin
(ANI)";"0.006112
USD"
"Omicron
(OMC)";"0.056757
USD"
"StarChain
(STC)";"0.025718
USD"
"Rhenium
(XRH)";"0.044966
USD"
"Sharkcoin
(SAK)";"0.001811
USD"
"Tellurion
(TELL)";"0.000372
USD"
"ERC20
(ERC20)";"1.12
USD"
"Bitcoin God
(GOD)";"13.41
USD"
"CoffeeCoin
(CFC)";"0.000936
USD"
"Huncoin
(HNC)";"0.000436
USD"
"First Bitcoin Capital
(BITCF)";"0.070105
USD"
"Bubble
(BUB)";"0.004179
USD"
"EggCoin
(EGG)";"0.010897
USD"
"W3Coin
(W3C)";"0.000229
USD"
"Regacoin
(REGA)";"0.000374
USD"
